state,population_absolute,population_percent
Baden-Wuerttemberg,11023425,13.3145452
Bayern,12997204,15.6985565
Berlin,3613495,4.364527588
Brandenburg,2504040,3.024482298
Bremen,681032,0.822578405
Hamburg,1830584,2.211054497
Hessen,6243262,7.540868117
Mecklenburg-Vorpommern,1611119,1.945975661
Niedersachsen,7962775,9.617766501
Nordrhein-Westfalen,17912134,21.6350107
Rheinland-Pfalz,4073679,4.920356713
Saarland,994187,1.200819868
Sachsen,4081308,4.929571332
Sachsen-Anhalt,2223081,2.685128485
Schleswig-Holstein,2889821,3.490444425
Thueringen,2151205,2.598313702
